comune,tipo_contratto,prezzo,locali,superficie,url_annuncio,data_scraping,zona,macroarea,prezzo_num,superficie_num,locali_num,prezzo_mq,valido
Fara In Sabina,vendita,€ 290.000,3 locali,92 m²,https://www.immobiliare.it/annunci/128135628/,2026-06-09,,Bassa Sabina,290000.0,92.0,3.0,3152.17,1
Fara In Sabina,vendita,€ 280.000,3 locali,87 m²,https://www.immobiliare.it/annunci/128136794/,2026-06-09,,Bassa Sabina,280000.0,87.0,3.0,3218.39,1
Fara In Sabina,vendita,€ 75.000,3 locali,85 m²,https://www.immobiliare.it/annunci/110451213/,2026-06-09,,Bassa Sabina,75000.0,85.0,3.0,882.35,1
Fara In Sabina,vendita,"da € 13.650,00",5 locali,45 m²,https://www.immobiliare.it/annunci/129394778/,2026-06-09,,Bassa Sabina,13650.0,45.0,5.0,303.33,0
Fara In Sabina,vendita,Prezzo su richiesta,3 locali,87 m²,https://www.immobiliare.it/annunci/103727504/,2026-06-09,,Bassa Sabina,,87.0,3.0,,1
Fara In Sabina,vendita,€ 70.000,3 locali,80 m²,https://www.immobiliare.it/annunci/125702233/,2026-06-09,,Bassa Sabina,70000.0,80.0,3.0,875.0,1
Fara In Sabina,vendita,€ 80.000,2 locali,48 m²,https://www.immobiliare.it/annunci/110451365/,2026-06-09,,Bassa Sabina,80000.0,48.0,2.0,1666.67,1
Fara In Sabina,vendita,€ 160.000,3 locali,90 m²,https://www.immobiliare.it/annunci/118149499/,2026-06-09,,Bassa Sabina,160000.0,90.0,3.0,1777.78,1
Fara In Sabina,vendita,€ 95.000,3 locali,75 m²,https://www.immobiliare.it/annunci/128229976/,2026-06-09,,Bassa Sabina,95000.0,75.0,3.0,1266.67,1
Fara In Sabina,vendita,€ 210.000,2 locali,65 m²,https://www.immobiliare.it/annunci/128135754/,2026-06-09,,Bassa Sabina,210000.0,65.0,2.0,3230.77,1
Fara In Sabina,vendita,€ 149.000,3 locali,80 m²,https://www.immobiliare.it/annunci/126801071/,2026-06-09,,Bassa Sabina,149000.0,80.0,3.0,1862.5,1
Fara In Sabina,vendita,€ 115.000,3 locali,73 m²,https://www.immobiliare.it/annunci/129231312/,2026-06-09,,Bassa Sabina,115000.0,73.0,3.0,1575.34,1
Fara In Sabina,vendita,€ 240.000,5+ locali,160 m²,https://www.immobiliare.it/annunci/126801049/,2026-06-09,,Bassa Sabina,240000.0,160.0,5.0,1500.0,1
Fara In Sabina,vendita,€ 239.000,5 locali,130 m²,https://www.immobiliare.it/annunci/126801055/,2026-06-09,,Bassa Sabina,239000.0,130.0,5.0,1838.46,1
Fara In Sabina,vendita,€ 85.000,5 locali,90 m²,https://www.immobiliare.it/annunci/126801075/,2026-06-09,,Bassa Sabina,85000.0,90.0,5.0,944.44,1
Fara In Sabina,vendita,€ 75.000,2 locali,60 m²,https://www.immobiliare.it/annunci/126801047/,2026-06-09,,Bassa Sabina,75000.0,60.0,2.0,1250.0,1
Fara In Sabina,vendita,€ 85.000,4 locali,130 m²,https://www.immobiliare.it/annunci/118591823/,2026-06-09,,Bassa Sabina,85000.0,130.0,4.0,653.85,1
Fara In Sabina,vendita,€ 245.000,5+ locali,216 m²,https://www.immobiliare.it/annunci/113950667/,2026-06-09,,Bassa Sabina,245000.0,216.0,5.0,1134.26,1
Fara In Sabina,vendita,€ 65.000,2 locali,70 m²,https://www.immobiliare.it/annunci/84904356/,2026-06-09,,Bassa Sabina,65000.0,70.0,2.0,928.57,1
Forano,affitto,€ 400/mese,2 locali,60 m²,https://www.immobiliare.it/annunci/122508960/,2026-06-09,,Bassa Sabina,400.0,60.0,2.0,,1
Forano,affitto,€ 750/mese,5 locali,100 m²,https://www.immobiliare.it/annunci/117061841/,2026-06-09,,Bassa Sabina,750.0,100.0,5.0,,1
Forano,vendita,"da € 200.000,00",3 locali,218 m²,https://www.immobiliare.it/annunci/128697612/,2026-06-09,,Bassa Sabina,200000.0,218.0,3.0,917.43,0
Forano,vendita,€ 80.000,5 locali,206 m²,https://www.immobiliare.it/annunci/129068522/,2026-06-09,,Bassa Sabina,80000.0,206.0,5.0,388.35,0
Forano,vendita,€ 60.000,4 locali,60 m²,https://www.immobiliare.it/annunci/122986164/,2026-06-09,,Bassa Sabina,60000.0,60.0,4.0,1000.0,1
Forano,vendita,€ 135.000,4 locali,115 m²,https://www.immobiliare.it/annunci/127158211/,2026-06-09,,Bassa Sabina,135000.0,115.0,4.0,1173.91,1
Forano,vendita,"da € 64.500,00",4 locali,75 m²,https://www.immobiliare.it/annunci/129728194/,2026-06-09,,Bassa Sabina,64500.0,75.0,4.0,860.0,0
Forano,vendita,€ 79.000,3 locali,114 m²,https://www.immobiliare.it/annunci/129026160/,2026-06-09,,Bassa Sabina,79000.0,114.0,3.0,692.98,1
Forano,vendita,"da € 64.500,00",3 locali,75 m²,https://www.immobiliare.it/annunci/129655132/,2026-06-09,,Bassa Sabina,64500.0,75.0,3.0,860.0,0
Forano,vendita,€ 35.000,3 locali,70 m²,https://www.immobiliare.it/annunci/128114438/,2026-06-09,,Bassa Sabina,35000.0,70.0,3.0,500.0,1
Forano,vendita,€ 40.000,2 locali,80 m²,https://www.immobiliare.it/annunci/123522327/,2026-06-09,,Bassa Sabina,40000.0,80.0,2.0,500.0,1
Forano,vendita,"da € 64.490,00",4 locali,87 m²,https://www.immobiliare.it/annunci/129729534/,2026-06-09,,Bassa Sabina,64490.0,87.0,4.0,741.26,0
Forano,vendita,"da € 40.580,00",3 locali,75 m²,https://www.immobiliare.it/annunci/128152474/,2026-06-09,,Bassa Sabina,40580.0,75.0,3.0,541.07,0
Forano,vendita,€ 99.000,4 locali,153 m²,https://www.immobiliare.it/annunci/121281820/,2026-06-09,,Bassa Sabina,99000.0,153.0,4.0,647.06,1
Forano,vendita,"€ 75.000€ 79.000(-5,1%)",3 locali,60 m²,https://www.immobiliare.it/annunci/121840260/,2026-06-09,,Bassa Sabina,75000.0,60.0,3.0,1250.0,1
Forano,vendita,€ 139.000,5 locali,133 m²,https://www.immobiliare.it/annunci/128381144/,2026-06-09,,Bassa Sabina,139000.0,133.0,5.0,1045.11,1
Forano,vendita,€ 58.000,2 locali,45 m²,https://www.immobiliare.it/annunci/118386659/,2026-06-09,,Bassa Sabina,58000.0,45.0,2.0,1288.89,1
Forano,vendita,€ 35.000,4 locali,120 m²,https://www.immobiliare.it/annunci/125342881/,2026-06-09,,Bassa Sabina,35000.0,120.0,4.0,291.67,0
Forano,vendita,€ 145.000,4 locali,136 m²,https://www.immobiliare.it/annunci/128778540/,2026-06-09,,Bassa Sabina,145000.0,136.0,4.0,1066.18,1
Forano,vendita,€ 70.000,3 locali,70 m²,https://www.immobiliare.it/annunci/122986722/,2026-06-09,,Bassa Sabina,70000.0,70.0,3.0,1000.0,1
Forano,vendita,€ 30.000,2 locali,40 m²,https://www.immobiliare.it/annunci/89833233/,2026-06-09,,Bassa Sabina,30000.0,40.0,2.0,750.0,1
Forano,vendita,€ 88.000,3 locali,64 m²,https://www.immobiliare.it/annunci/127649612/,2026-06-09,,Bassa Sabina,88000.0,64.0,3.0,1375.0,1
Frasso Sabino,vendita,€ 39.500,5 locali,113 m²,https://www.immobiliare.it/annunci/111233967/,2026-06-09,,Bassa Sabina,39500.0,113.0,5.0,349.56,0
Frasso Sabino,vendita,€ 22.000,,30 m²,https://www.immobiliare.it/annunci/127159185/,2026-06-09,,Bassa Sabina,22000.0,30.0,,733.33,1
Frasso Sabino,vendita,"da € 40.800,00",4 locali,82 m²,https://www.immobiliare.it/annunci/129463164/,2026-06-09,,Bassa Sabina,40800.0,82.0,4.0,497.56,0
Frasso Sabino,vendita,"da € 40.800,00",4 locali,82 m²,https://www.immobiliare.it/annunci/129384568/,2026-06-09,,Bassa Sabina,40800.0,82.0,4.0,497.56,0
Frasso Sabino,vendita,€ 98.000,3 locali,75 m²,https://www.immobiliare.it/annunci/126481907/,2026-06-09,,Bassa Sabina,98000.0,75.0,3.0,1306.67,1
Frasso Sabino,vendita,"da € 40.790,00",4 locali,82 m²,https://www.immobiliare.it/annunci/129376982/,2026-06-09,,Bassa Sabina,40790.0,82.0,4.0,497.44,0
Frasso Sabino,vendita,"da € 40.790,00",4 locali,82 m²,https://www.immobiliare.it/annunci/129403964/,2026-06-09,,Bassa Sabina,40790.0,82.0,4.0,497.44,0
Frasso Sabino,vendita,"da € 40.800,00",3 locali,82 m²,https://www.immobiliare.it/annunci/129582892/,2026-06-09,,Bassa Sabina,40800.0,82.0,3.0,497.56,0
Frasso Sabino,vendita,€ 80.000,5 locali,110 m²,https://www.immobiliare.it/annunci/118938313/,2026-06-09,,Bassa Sabina,80000.0,110.0,5.0,727.27,1
Frasso Sabino,vendita,€ 110.000,3 locali,110 m²,https://www.immobiliare.it/annunci/125079731/,2026-06-09,,Bassa Sabina,110000.0,110.0,3.0,1000.0,1
